gt_id,app_name,question,ground_truth
gt_1,EarningsRadarPro,"How does the Company determine if an arrangement qualifies as a lease?","The Company determines if an arrangement is a lease at inception."
gt_2,EarningsRadarPro,What is the Company's policy regarding the recognition of right-of-use (ROU) assets and lease liabilities for short-term leases?,"The Company has elected not to recognize ROU assets and lease liabilities for short-term leases that have a lease term of 12 months or less. The Company recognizes the lease payments associated with its short-term leases as an expense on a straight-line basis over the lease term."
gt_3,EarningsRadarPro,How are operating lease ROU assets and lease liabilities presented on the Company's consolidated balance sheets?,"Operating lease ROU assets are presented separately on the consolidated balance sheets. Operating lease liabilities are presented separately as current and non-current liabilities on the consolidated balance sheets."
gt_4,EarningsRadarPro,"What was the total operating lease cost recognized by the Company during the year ended December 31, 2022?","The Company recognized operating lease costs of $22.4 million during the year ended December 31, 2022."
gt_5,EarningsRadarPro,"What was the weighted-average remaining lease term for operating leases as of December 31, 2022?","The weighted-average remaining lease term for operating leases as of December 31, 2022, was 5.2 years."
gt_6,EarningsRadarPro,"According to the future minimum lease payment schedule, what is the total amount of lease payments due after 2027?","According to the future minimum lease payment schedule, the total amount of lease payments due after 2027 is $22,400,000."
gt_7,EarningsRadarPro,"What was the total operating lease liabilities of the Company as of December 31, 2022?","$92,300"
gt_8,EarningsRadarPro,"What was the amount of finance lease right-of-use (ROU) assets included in property and equipment, net, on the consolidated balance sheets as of December 31, 2022?","$6.2 million"
gt_9,EarningsRadarPro,"What were the weighted-average remaining lease term and weighted-average discount rate for the Company's finance leases as of December 31, 2022?","The weighted-average remaining lease term for finance leases as of December 31, 2022 was 3.7 years, and the weighted-average discount rate was 5.2%."
gt_10,EarningsRadarPro,"What was the total amount of future minimum lease payments under non-cancelable finance leases as of December 31, 2022?","$7,100,000"
gt_11,EarningsRadarPro,"How much did the Company receive in total proceeds from the two sale-leaseback transactions involving certain office buildings and data centers during the year ended December 31, 2022?","The Company received total proceeds of $48.5 million from the two sale-leaseback transactions involving certain office buildings and data centers during the year ended December 31, 2022."
gt_12,EarningsRadarPro,"What type of lease arrangements does the Company enter into as a lessor, and how does it recognize the related income?","The Company enters into arrangements to sublease certain office spaces to third parties. These sublease arrangements are classified as operating leases, and the Company recognizes sublease income on a straight-line basis over the lease term."
gt_13,EarningsRadarPro,"What was the total sublease income recognized by the Company during the year ended December 31, 2022, and where was it reported in the financial statements?","The Company recognized sublease income of $3.2 million during the year ended December 31, 2022, which was included in other income, net, in the consolidated statements of operations."
gt_14,EarningsRadarPro,"According to the information provided, what are the expected undiscounted future cash inflows from non-cancelable operating subleases for the year 2025?","According to the information provided, the expected undiscounted future cash inflows from non-cancelable operating subleases for the year 2025 is $2,400,000."
gt_15,EarningsRadarPro,"Explain the significant judgments and estimates involved in the Company's lease accounting policies, as mentioned in the context information.","The significant judgments and estimates involved in the Company's lease accounting policies, as mentioned in the context information, are:\n\n1. Determining whether a contract contains a lease, which requires evaluating if the Company has the right to control the use of an identified asset for a period of time in exchange for consideration.\n\n2. Allocating contract consideration between lease and non-lease components, particularly for arrangements involving multiple components, which involves applying judgment in determining the appropriate allocation methodology and standalone prices for each component.\n\n3. Determining the lease term, which involves assessing the likelihood of exercising renewal or termination options.\n\n4. Determining the incremental borrowing rate used to measure lease liabilities."